Identifier,industry_raw,sector
JUP.L,investment management,Financials
OCDO.L,online shopping,Other
AIRF.PA,holding company activities,Financials
PINT.L,investment management,Financials
FORT.L,list of building materials,Materials
WKB.S,"financial service activities, except insurance and pension funding",Financials
GTCP.WA,real estate development,Real Estate
IVSO.ST,software industry,Information Technology
LOCAL.PA,marketing,Other
MULTI.OL,engineering,Industrials
TBCG.L,line of credit,Financials
ADML.L,insurance industry,Financials
NEXI.PA,real estate development,Real Estate
GJFG.OL,general insurance,Financials
GBFG.DE,construction,Industrials
SWEDa.ST,financial sector,Financials
CCCP.WA,retail,Consumer Discretionary
BORG.ST,retail,Consumer Discretionary
DOVA.MI,financial sector,Financials
INSTA.OL,other monetary intermediation,Communication
AMB.WA,food industry,Consumer Staples
PUIGb.MC,fashion,Consumer Discretionary
TRE.MC,engineering,Industrials
EMBRACb.ST,video game industry,Other
GLPG.AS,pharmaceutical industry,Health Care
DKSH.S,trade,Other
SALM.OL,aquaculture,Other
TGYM.MI,retail,Consumer Discretionary
ROSNN.BX,energy industry,Other
HBMG.H,installation of mechanical machines and equipment,Industrials
AVOL.S,retail,Consumer Discretionary
MTRO.L,financial services,Financials
STM1.DE,automotive supplier,Consumer Discretionary
DOFG.OL,ship-owner,Other
ALFAAL.L,information technology,Information Technology
SDZ.S,pharmaceutical industry,Health Care
GENL.L,petroleum industry,Energy
IDIA.S,wholesale (inter-company trade) of pharmaceutical products,Health Care
ETS.VI,telecommunications,Communication
B4B.H,wholesale,Other
MANTA.HE,financial sector,Financials
DNR.MI,electrochemistry,Other
KETL.L,film industry,Other
ROM.BX,health care industry,Health Care
ASML.AS,semiconductor industry,Information Technology
SGCG.DE,specialty chemicals,Materials
ALCGM.PA,"data processing, hosting and related activities",Information Technology
KOA.OL,automotive industry,Consumer Discretionary
GALD.S,pharmaceutical industry,Health Care
VAR.OL,petroleum industry,Energy
SMCP.PA,fund management,Other
DEMANT.CO,health care,Health Care
ABI.BR,brewing industry,Other
LEAL.ST,economics of banking,Financials
EONGn.DE,energy sector,Other
KP2.L,mining,Materials
HUSQb.ST,mechanical engineering,Industrials
AKBM.OL,fishing,Other
ELIOR.PA,holding company activities,Financials
WACGn.DE,manufacture of machinery and equipment,Industrials
TENP.WA,video game industry,Other
